"date";"gdp";"ind_prod_israel";"rate_euro";"rate_us";"vix";"ind_prod_us";"ind_prod_euro";"eurostoxx600";"sp500";"dxy";"us_term_spread";"spread_cpi_corp";"sovereigh_spread";"term_spread";"ils_usd_impl_vol";"ta_35_impl_vol";"boi_rate";"credit";"house_price";"ta125_close"
"1";"1997 Q1";152183.336;64.40905;4.26;5.26944;19.93131;80.65143;83.23333;185.465;784.7418;93.53032;0.53183;1.559505323;0.87928;0.11246;0.058354354;27.67358417;14.24877;338.14655;182.66667;246.75565
"2";"1997 Q2";153038.281;65.39616;3.88;5.5;19.92297;81.80363;84.93333;201.73277;823.48875;95.59016;0.44052;1.486397207;0.58752;-0.38545;0.051664128;19.1569795;13.74;357.83446;187.76667;269.52158
"3";"1997 Q3";153170.323;64.87793;3.91;5.5;22.445;83.68073;86.3;227.63106;929.94422;98.42894;0.35106;1.496673565;0.25495;-0.06989;0.065122677;19.67860325;12.96344;371.89632;191.4;294.87234
"4";"1997 Q4";155835.062;65.59359;4.04;5.5;27.10641;85.77873;87.5;227.01281;951.37891;97.34262;0.18188;1.502395154;0.3558;-0.74323;0.061106972;23.89531292;13.4;384.69031;190.03333;287.07895
"5";"1998 Q1";158231.659;66.72876;3.98;5.5;21.32459;86.7428;88.56667;258.56143;1023.08918;100.21127;0.14891;1.476063731;0.99002;-1.0758;0.059367361;23.538854;12.91402;394.63254;190.93333;280.30857
"6";"1998 Q2";158252.427;66.85215;3.77;5.5;21.53429;87.3271;89.06667;292.553;1109.66778;100.18889;0.04369;1.63111363;1.19875;-1.66929;0.072985637;23.47127858;11.86376;408.36147;192.33333;320.00902
"7";"1998 Q3";159530.987;66.97554;3.79;5.49457;29.75172;87.97283;89.06667;279.58152;1085.08063;100.01045;0.07258;1.290892787;1.10309;-0.52968;0.064213079;23.57352867;10.22258;426.13223;192.46667;307.28517
"8";"1998 Q4";160968.224;67.19764;3.38;4.91576;29.53719;89.2394;88.6;253.93032;1121.62703;94.468;0.28905;0.967000368;1.39215;0.14551;0.132938492;30.87177242;11.92007;457.31044;204.36667;284.35452
"9";"1999 Q1";159642.988;65.49487;3.05;4.75;27.25279;90.22663;88.8;289.23619;1260.49262;97.14619;0.14294;0.92812164;1.35611;-1.31316;0.089045132;27.29808558;13.30952;470.52315;203.2;311.82836
"10";"1999 Q2";166427.712;66.23521;2.60862;4.75275;24.39556;91.09293;89.43333;307.18742;1329.64365;101.31692;0.26597;0.934026831;1.16611;-1.01363;0.082739832;27.80529575;12.16111;483.29562;201.83333;391.08293
"11";"1999 Q3";167177.069;68.38218;2.46576;5.10326;23.32063;91.9045;90.83333;309.32348;1341.98672;100.93545;0.26326;0.936804976;1.09947;-0.93812;0.076822258;24.59806025;11.65054;504.45424;204.26667;402.99694
"12";"1999 Q4";170447.018;70.33172;2.83138;5.375;22.65828;93.53143;92.46667;333.02462;1374.09484;100.25955;0.20162;0.842137462;1.0268;-1.78579;0.070707252;23.841723;11.36925;528.9462;203.43333;432.32338
"13";"2000 Q1";174062.105;71.12141;3.28354;5.69231;23.15032;94.4765;92.96667;380.55231;1420.00143;103.93154;-0.0468;0.859587883;0.90585;-1.77489;0.081034736;28.360378;10.24446;540.49396;194.6;533.33556
"14";"2000 Q2";179548.186;74.97115;3.98468;6.25275;24.92397;95.61987;95.13333;384.0729;1446.59365;108.3019;-0.38157;0.632777398;1.13294;-1.0548;0.077425627;26.15449208;9.38667;555.87115;196.8;516.8831
"15";"2000 Q3";184951.883;76.25439;4.43877;6.5;19.16905;95.52693;95.93333;388.26508;1475.97889;111.228;-0.32397;0.402736466;1.57144;-1.48062;0.058674953;19.26638767;9.0771;569.34174;192.63333;552.37406
"16";"2000 Q4";184566.497;75.26728;4.80524;6.5;26.01667;95.32573;97.03333;374.42476;1366.31032;115.15063;-0.14835;0.482660023;1.8007;-1.23186;0.067205751;29.92098033;8.37627;587.63808;189.63333;489.15619
"17";"2001 Q1";182608.591;74.67502;4.83875;5.61111;25.72645;94.06823;97;342.58625;1273.32532;111.92446;0.45816;0.623014427;1.91445;-0.83168;0.063640963;25.675535;7.72366;604.87525;188.06667;441.42603
"18";"2001 Q2";181518.968;70.84996;4.74081;4.32418;23.92381;92.88123;96.1;334.34145;1234.25111;117.07246;1.08223;0.843720096;1.42105;-0.738;0.056570138;24.98349958;7.09896;616.86831;185.66667;407.35483
"19";"2001 Q3";179653.176;70.08494;4.34077;3.5625;25.38034;91.60057;95.6;296.68369;1153.70712;115.47477;1.31956;0.958260279;1.22076;0.23845;0.054661807;21.18267175;6.35376;635.05187;186.83333;414.83317
"20";"2001 Q4";178577.59;68.92509;3.62857;2.14402;27.91;90.6416;94;285.68698;1115.36766;115.47045;1.89264;0.844281829;1.31734;0.0145;0.059740171;23.7777275;5.90946;647.16997;186.13333;389.58694
"21";"2002 Q1";179402.603;69.31993;3.28065;1.75;21.36083;91.3109;94.7;292.83661;1132.21483;118.19734;1.89188;1.22256798;0.78334;1.56361;0.103757698;24.5815755;4.00714;669.3008;196.1;424.09197
"22";"2002 Q2";180232.861;70.03559;3.32429;1.75;21.64313;92.7305;95.56667;280.67937;1070.14969;113.41354;1.88541;1.103071726;2.21082;1.67795;0.102835007;24.78954942;5.32373;693.28214;200.06667;370.63017
"23";"2002 Q3";180398.354;69.14719;3.30409;1.75;35.06844;93.275;95.6;223.06364;895.49063;106.85288;2.03422;1.672632589;2.98961;-0.71556;0.089704789;23.20431475;9.1;709.28874;196.43333;356.35419
"24";"2002 Q4";180000.717;68.90041;3.23734;1.44565;30.72672;93.25433;95.23333;210.15484;886.52828;105.82394;2.12254;2.697202221;3.28844;-0.0346;0.088588021;22.85053975;9.0871;714.76179;193.43333;339.62591
